order_number,clp_number
505736,107094
618210,979841
311696,617439
549906,804887
210280,141603
384892,427101
988930,173587
619539,145514
511287,710236
865856,892758
761465,959216
986200,689859
131246,564421
218291,395772
322585,890422
347746,155911
969769,587482
348019,660566
497389,690141
864585,594361
651266,554607
344817,218621
349203,353845
876496,275437
842916,349523
353205,762396
895797,991788
412289,557737
559584,870869
860380,118409
590556,713742
137435,729124
270625,440624
150013,813350
836421,739865
931683,342369
689399,367971
857948,717552
759893,200962
819887,347034
503011,594131
631300,491643
252238,243451
546343,582463
974445,922897
755764,359172
193561,297532
487234,320486
130534,863954
747668,339199
626345,843140
614456,666554
340993,335442
696599,169856
357976,642244
178858,192217
282014,165142
180135,741828
228382,712267
313092,699425
193941,720226
664851,988768
769097,253951
589951,476385
978663,760092
230724,794602
152544,132772
305632,269316
154488,559948
779146,616225
748342,206757
539540,160322
579235,165463
826885,478707
683118,835228
820557,606881
194291,422831
499737,718885
852133,194359
568234,356705
981997,697685
758012,909040
546433,165776
117686,393304
513006,306366
401989,324518
283760,893983
445191,244418
738307,875413
520470,184998
684452,289174
240461,401231
332727,474768
461188,969146
562923,712697
506141,123671
204816,580096
303870,834408
510094,501461
131342,498919
581823,367045
852327,427292
865286,707641
631723,335299
112377,932918
273294,456208
506824,204751
191124,181836
303471,620964
567128,111916
177551,531758
456721,586604
566082,446960
834727,561422
199259,494536
291929,642915
173644,385970
960912,590165
455381,779472
564156,905242
807608,589316
287618,278007
950928,187835
388794,188231
576467,471404
678720,606684
368757,932251
869031,616183
647521,752209
888614,914820
671187,759244
198954,726845
128615,531687
346413,491018
465504,197002
519126,894799
554650,675566
173693,767223
471678,434372
245648,402335
212391,269691
437056,887369
628357,416244
613091,658838
999022,807446
560495,175738
298640,162061
734370,263030
779552,984967
794788,666753
476782,749716
301893,101907
804264,173612
631921,866381
822528,109593
884262,102609
347413,672598
502370,191458
823700,792546
553348,660082
737174,468373
637138,497909
594834,521085
540948,798761
842612,259375
669312,965186
854139,686324
646757,489520
360312,880234
926379,478607
720769,625286
748689,171406
238408,846910
439149,839244
659245,586668
641059,301765
363033,204181
709964,561151
855759,959317
409273,657814
765342,651014
481099,711405
673342,452646
948740,575564
889122,671589
329453,975388
751619,926563
351809,129689
603047,128743
345500,609762
418868,909812
641209,722767
552744,946845
947234,940374
836083,754322
404836,905829
645488,810133
610272,603737
445074,679820
677684,445040
526951,740030
758181,911133
189726,243975
379778,334931
965430,619759
579411,350654
976374,348071
263944,974263
695162,523784
747264,998969
242465,112259
294293,817317
695329,879247
844002,727765
958071,982354
114501,430472
788531,400530
859034,654368
559206,747266
373648,904530
424845,436395
943525,350664
390446,704126
698689,135777
657358,914534
978403,752281
896121,658730
871044,110877
305959,426667
769061,257696
376202,799577
171180,729612
707852,836728
311307,671281
774083,889072
735397,948578
688233,878959
465156,162786
666151,183907
610433,631548
345813,547921
543800,633646
461695,762413
400527,553256
157476,465950
820800,294024
915101,221116
545084,233603
241266,309112
704801,510653
962521,951759
631321,309448
223527,808841
796591,818520
882689,843026
667336,168733
740085,337533
655164,171138
949968,872828
136813,630336
153930,512188
229637,386711
306618,913430
805915,855389
176022,977503
418344,347482
122251,610637
542077,476194
144524,709949
676031,861819
943151,803063
